,index,subject,relation,object
205,1098902,archer,isa,person
206,1098904,archer,isa,weapon
207,1098956,architect,isa,person
208,1099008,arctic,isa,company
209,1099080,area,isa,place
210,1099084,area,isa,structure
211,1099088,area,isa,region
212,1099193,argentina,isa,country
213,1099194,argentina,isa,state
214,1099196,argentina,isa,river
215,1099198,argentine,isa,person
216,1099200,argentine,isa,station
217,1099374,arizona,isa,administrative_region
218,1099375,arizona,isa,state
219,1099396,ark,isa,software
220,1099399,arkansas,isa,administrative_region
221,1099401,arkansas,isa,state
222,1099484,armenia,isa,country
223,1099680,arnhem,isa,city
224,1099691,arnold,isa,company
225,1099716,aron,isa,person
226,1099717,aron,isa,river
227,1099742,arrangement,isa,structure
228,1099855,arsenal,isa,tangible_thing
229,1100048,arthritis,isa,disease
230,1100084,arthur,isa,album
231,1100117,article,isa,artifact
232,1100251,artist,isa,person
233,1100539,asia,isa,administrative_region
234,1100542,asian,isa,human
235,1100544,asian,isa,person
236,1100545,asian,isa,person_with_nationality
237,1100624,asmara,isa,capital
238,1100807,assailant,isa,person
239,1100988,association,isa,agent_non_geographical
240,1100989,association,isa,organization
241,1101355,athens,isa,administrative_region
242,1101357,athens,isa,station
243,1101384,athlete,isa,person
244,1101431,atlanta,isa,city
245,1101437,atlanta,isa,capital
246,1101544,atmosphere,isa,region
247,1101547,atmosphere,isa,band
248,1101941,attempt,isa,activity
249,1101962,attendance,isa,company
250,1101979,attention,isa,album
251,1102025,attitude,isa,magazine
252,1102097,auckland,isa,city
253,1102117,audacity,isa,software
254,1102120,audi,isa,company
255,1102429,australia,isa,country
256,1102441,australian,isa,person
257,1102442,australian,isa,person_with_nationality
258,1102530,austria,isa,country
259,1102536,austrian,isa,person
260,1102537,austrian,isa,person_with_nationality
261,1102599,author,isa,person
262,1102615,authority,isa,book
263,1102617,authority,isa,person
264,1102757,automatic,isa,weapon
265,1103326,az,isa,musical_artist
266,1103357,azerbaijan,isa,country
267,1103493,ba,isa,country
268,1103517,babel,isa,software
269,1103802,backbone,isa,part
270,1104197,baghdad,isa,city
271,1104198,baghdad,isa,album
272,1104239,bahamas,isa,country
273,1104240,bahamas,isa,state
274,1104250,bahrain,isa,country
275,1104349,baker,isa,person
276,1104394,baku,isa,capital
277,1104420,balance,isa,person
278,1104423,balance,isa,structure
279,1104547,ball,isa,event
280,1104554,ball,isa,software
281,1104565,ball,isa,structure
282,1104711,ballot,isa,company
283,1104789,baltimore,isa,city
284,1104874,banco,isa,book
285,1104875,band,isa,band
286,1104880,band,isa,organization
287,1104900,banda,isa,african
288,1104901,banda,isa,human
289,1104977,bangkok,isa,administrative_region
290,1104978,bangkok,isa,capital
291,1104979,bangladesh,isa,country
292,1104981,bangladesh,isa,state
293,1104982,bangladeshi,isa,asian
294,1104983,bangladeshi,isa,person_with_nationality
295,1104997,bangui,isa,capital
296,1105020,bank,isa,company
297,1105081,banker,isa,person
298,1105208,bar,isa,place
299,1105285,barbara,isa,given_name
300,1105286,barbara,isa,musical_artist
301,1105393,barcelona,isa,city
302,1105800,base,isa,tangible_thing
303,1105806,base,isa,location
304,1105809,base,isa,part
305,1105931,basement,isa,place
306,1105958,basic,isa,software
307,1106028,basis,isa,part
308,1106149,basque,isa,human
309,1106277,bat,isa,weapon
310,1106623,battleford,isa,city
311,1106676,bay,isa,person
312,1106677,bay,isa,station
313,1106742,bbc,isa,company
314,1106768,beach,isa,place
315,1107007,beast,isa,book
316,1107022,beat,isa,given_name
317,1107107,beaver,isa,person
318,1107153,bed,isa,place
319,1107226,bedouin,isa,ethnic_group
320,1107227,bedouin,isa,african
321,1107229,bedouin,isa,human
322,1107439,beginning,isa,part
323,1107513,begun,isa,city
324,1107542,being,isa,state
325,1107587,beja,isa,african
326,1107588,beja,isa,human
327,1107601,belarus,isa,country
328,1107630,belgian,isa,person_with_nationality
329,1107667,belgium,isa,country
330,1107669,belgium,isa,state
331,1107670,belgrade,isa,city
332,1107869,ben,isa,given_name
333,1107871,ben,isa,musical_artist
334,1107893,bench,isa,company
335,1107982,bengali,isa,asian
336,1107983,bengali,isa,human
337,1107985,bengali,isa,ethnic_group
338,1108000,benin,isa,country
339,1108016,benjamin,isa,company
340,1108204,bergen,isa,city
341,1108225,berkshire,isa,administrative_region
342,1108229,berlin,isa,administrative_region
343,1108244,bermuda,isa,country
344,1108268,bernard,isa,person
345,1108269,bernard,isa,soccer_player
346,1108275,berne,isa,river
347,1108290,berry,isa,musical_artist
348,1108350,best,isa,album
349,1108352,best,isa,person
350,1108490,bethlehem,isa,place
351,1108491,bethlehem,isa,town
352,1108571,bevan,isa,given_name
353,1108864,bielefeld,isa,city
354,1109210,billionaire,isa,person
355,1109211,billionaire,isa,human
356,1109320,bind,isa,software
357,1109443,biogen,isa,company
358,1109858,birmingham,isa,city
359,1109871,birth,isa,person
360,1109985,bishop,isa,weapon
361,1110055,bit,isa,part
362,1110164,bizarre,isa,musical_artist
363,1110185,black,isa,musical_artist
364,1110806,blast,isa,software
365,1110809,blast,isa,magazine
366,1110865,blaze,isa,book
367,1110986,blew,isa,album
368,1111007,blind,isa,people
369,1111099,block,isa,artifact
370,1111104,block,isa,area
371,1111196,blood,isa,people
372,1111471,blue,isa,organization
373,1111991,boating,isa,activity
374,1112028,bob,isa,person
375,1112113,bochum,isa,city
376,1112118,bode,isa,river
377,1112148,bodo,isa,person
378,1112153,body,isa,structure
379,1112267,bodyguard,isa,album
380,1112279,boeing,isa,company
381,1112318,boer,isa,ethnic_group
382,1112503,bologna,isa,station
383,1112540,bomb,isa,device
384,1112546,bomb,isa,weapon
385,1112782,bones,isa,album
386,1112783,bones,isa,company
387,1112811,bonn,isa,city
388,1112871,book,isa,device
389,1113030,boost,isa,software
390,1113121,border,isa,part
391,1113204,boris,isa,given_name
392,1113271,borough,isa,town
393,1113288,borrower,isa,film
394,1113327,bosnians,isa,ethnic_group
395,1113336,boss,isa,human
396,1113337,boss,isa,person
397,1113464,botswana,isa,country
398,1113466,botswana,isa,state
399,1113528,bottom,isa,region
400,1113619,boundary,isa,area
